time,send_or_recv,id,communicating_agent
2024-07-26 08:54:18.162117,SEND,35ebdec3-161c-4830-9b89-43e06e5d95b8,scp_Main_Node@localhost
2024-07-26 08:54:18.168381,SEND,e45f9000-d234-4c9a-8ef8-6c6f31b47663,scp_Main_Node@localhost
2024-07-26 08:54:38.175605,RECEIVE,67e107b9-7312-4262-94be-51bdc0b965bc,scp_main_node@localhost
2024-07-26 08:58:52.706721,SEND,b7381571-500f-4684-889a-7f125ebbd669,scp_Main_Node@localhost
2024-07-26 08:59:12.714194,RECEIVE,67635d7c-edb5-4123-b695-aefc89bcc93b,scp_main_node@localhost
2024-07-26 09:00:04.602073,SEND,bd6a4dea-f9a6-4876-96c9-3440612ad16e,scp_Main_Node@localhost
2024-07-26 09:00:04.604076,RECEIVE,67635d7c-edb5-4123-b695-aefc89bcc93b,scp_main_node@localhost
2024-07-26 09:02:54.621423,SEND,83bbb4da-16ff-4112-8b8b-d0935e28c878,scp_Main_Node@localhost
2024-07-26 09:02:54.626315,RECEIVE,8a52ee22-7f98-4878-ab36-4c415b485aec,scp_main_node@localhost
2024-07-26 09:05:55.768891,SEND,4ede86e0-55d9-4252-abc3-38a0b74f18a4,scp_Main_Node@localhost
2024-07-26 09:05:55.772397,RECEIVE,8a52ee22-7f98-4878-ab36-4c415b485aec,scp_main_node@localhost
2024-07-26 09:06:44.826823,SEND,0bccf66d-e3f2-4a30-b164-0ea349d5a2a8,scp_Main_Node@localhost
2024-07-26 09:06:44.829326,RECEIVE,3fbf550a-e710-4f40-aca8-8a94023473c6,scp_main_node@localhost
2024-07-26 09:07:36.920350,SEND,b701a6e4-5eb7-4036-876a-b6fd437a5ccc,scp_Main_Node@localhost
2024-07-26 09:07:36.921351,RECEIVE,3fbf550a-e710-4f40-aca8-8a94023473c6,scp_main_node@localhost
2024-07-26 09:12:33.542336,SEND,7de6fbf2-1db0-4908-bfbb-d95335ffdc27,scp_Main_Node@localhost
2024-07-26 09:12:33.545845,RECEIVE,5a79aefe-b595-4377-b5b6-0346b62d2147,scp_main_node@localhost
2024-07-26 09:13:34.752821,SEND,b029ed61-5039-48f1-81e8-b74b648bae6b,scp_Main_Node@localhost
2024-07-26 09:13:34.754822,RECEIVE,5a79aefe-b595-4377-b5b6-0346b62d2147,scp_main_node@localhost
2024-07-26 09:14:33.341199,SEND,eec0ba40-b6a8-44d5-a6bd-d326efef56df,scp_Main_Node@localhost
2024-07-26 09:14:33.343198,RECEIVE,3008fdac-23f3-41e4-b219-e2f4dd31c7b7,scp_main_node@localhost
2024-07-26 09:15:23.895287,SEND,7ab40f87-7243-4d8b-a91f-1cd305038860,scp_Main_Node@localhost
2024-07-26 09:15:23.896288,RECEIVE,3008fdac-23f3-41e4-b219-e2f4dd31c7b7,scp_main_node@localhost
2024-07-26 09:16:12.640446,SEND,d7b8dea4-0fa9-4889-8e5d-59d635078cab,scp_Main_Node@localhost
2024-07-26 09:16:12.643446,RECEIVE,2d1e4f3e-31ad-43ff-89fb-4f858ca76c8f,scp_main_node@localhost
2024-07-26 09:16:58.995629,SEND,2966fd9a-feb6-4a44-a8bf-fdc2bcc65bd8,scp_Main_Node@localhost
2024-07-26 09:16:58.996629,RECEIVE,2d1e4f3e-31ad-43ff-89fb-4f858ca76c8f,scp_main_node@localhost
2024-07-26 09:19:43.986416,SEND,3bb05574-a058-4a0e-9ad8-feb5ca34edc1,scp_Main_Node@localhost
2024-07-26 09:19:43.989416,RECEIVE,fcfaa358-131f-484b-91a7-5c85adf8052f,scp_main_node@localhost
2024-07-26 09:22:12.533233,SEND,7c8e0aee-e9a3-42b2-9238-284841f79d05,scp_Main_Node@localhost
2024-07-26 09:22:12.536233,RECEIVE,fcfaa358-131f-484b-91a7-5c85adf8052f,scp_main_node@localhost
2024-07-26 09:23:20.403557,SEND,62735f68-8df5-4c6c-90fd-4ade5186b0b7,scp_Main_Node@localhost
2024-07-26 09:23:20.405557,RECEIVE,d701696e-6c23-4fa0-87e3-7afbb6142f67,scp_main_node@localhost
2024-07-26 09:24:05.047053,SEND,d4239342-918b-4f6a-91c5-160db4a08fee,scp_Main_Node@localhost
2024-07-26 09:24:05.048053,RECEIVE,d701696e-6c23-4fa0-87e3-7afbb6142f67,scp_main_node@localhost
2024-07-26 09:24:46.542763,SEND,7bbe2bbe-79ef-4c3e-a4d8-9ef598f6c544,scp_Main_Node@localhost
2024-07-26 09:24:46.546273,RECEIVE,5c53ebd0-d787-4c62-9b47-7e95fdc8c5f5,scp_main_node@localhost
2024-07-26 09:25:33.704840,SEND,5bba0398-044f-4409-93b1-f8587b7d9fab,scp_Main_Node@localhost
2024-07-26 09:25:33.704840,RECEIVE,5c53ebd0-d787-4c62-9b47-7e95fdc8c5f5,scp_main_node@localhost
2024-07-26 09:26:13.435625,SEND,410ade6d-97ea-4535-a810-8092393e8d20,scp_Main_Node@localhost
2024-07-26 09:26:13.438131,RECEIVE,cc009bde-a5c7-4a99-9b7a-f1b80b40215d,scp_main_node@localhost
2024-07-26 09:26:56.408071,SEND,3ab30677-f84d-41b1-8ef6-f7b3523b331f,scp_Main_Node@localhost
2024-07-26 09:26:56.409071,RECEIVE,cc009bde-a5c7-4a99-9b7a-f1b80b40215d,scp_main_node@localhost
2024-07-26 09:27:39.578486,SEND,1cafbf06-9038-4966-a258-2663afee5434,scp_Main_Node@localhost
2024-07-26 09:27:39.580486,RECEIVE,1a9c9ab0-4e5d-456a-b7a4-0762f10a61dc,scp_main_node@localhost
2024-07-26 09:28:27.324326,SEND,42c5209f-e36f-4972-bbe5-3e0a430b63d0,scp_Main_Node@localhost
2024-07-26 09:28:27.325326,RECEIVE,1a9c9ab0-4e5d-456a-b7a4-0762f10a61dc,scp_main_node@localhost
2024-07-26 09:29:17.002802,SEND,d2671f3c-cfb9-40d7-b806-167e3567d0b4,scp_Main_Node@localhost
2024-07-26 09:29:17.006803,RECEIVE,f8bf6ff2-3453-4d3b-9f67-abeab0075121,scp_main_node@localhost
2024-07-26 09:30:03.080958,SEND,bca62cca-b3da-445c-8be3-e1be12f455a1,scp_Main_Node@localhost
2024-07-26 09:30:03.082961,RECEIVE,f8bf6ff2-3453-4d3b-9f67-abeab0075121,scp_main_node@localhost
2024-07-26 09:30:55.430015,SEND,5523b54b-e684-49b1-bbb1-b8b97e931d28,scp_Main_Node@localhost
2024-07-26 09:30:55.434521,RECEIVE,d1eb5cd4-075d-45e1-93ac-f76e9e183dd9,scp_main_node@localhost
2024-07-26 09:31:43.148539,SEND,0860c917-76b9-443b-a9eb-76dca4a98ee3,scp_Main_Node@localhost
2024-07-26 09:31:43.148539,RECEIVE,d1eb5cd4-075d-45e1-93ac-f76e9e183dd9,scp_main_node@localhost
2024-07-26 09:32:33.763163,SEND,e8bc373e-d704-4643-a3ed-deaf23748a96,scp_Main_Node@localhost
2024-07-26 09:32:33.765163,RECEIVE,a9fc492e-fe9e-451d-9395-3f607f8e657c,scp_main_node@localhost
2024-07-26 09:33:24.150642,SEND,4db86c60-fa6f-4b3f-89d8-6f980deddb23,scp_Main_Node@localhost
2024-07-26 09:33:24.152644,RECEIVE,a9fc492e-fe9e-451d-9395-3f607f8e657c,scp_main_node@localhost
2024-07-26 09:34:25.119461,SEND,f70c6260-0d5e-4fbe-997d-62d206ca2bf8,scp_Main_Node@localhost
2024-07-26 09:34:25.128969,RECEIVE,e4a176e9-8ca0-424f-9b05-cc8d3a20b6ba,scp_main_node@localhost
2024-07-26 09:35:17.017784,SEND,bab7196d-d4e3-4cd0-aa23-3e54e299fe0c,scp_Main_Node@localhost
2024-07-26 09:35:17.018784,RECEIVE,e4a176e9-8ca0-424f-9b05-cc8d3a20b6ba,scp_main_node@localhost
2024-07-26 09:36:08.933744,SEND,2d6f2ed7-a2c2-415b-aa98-209042783fd8,scp_Main_Node@localhost
2024-07-26 09:36:08.935247,RECEIVE,b3cbaa01-3f5e-48d2-8d16-4298a0b2c4a7,scp_main_node@localhost
2024-07-26 09:36:57.015737,SEND,95062c60-00e0-47cd-915c-346ed261e7ec,scp_Main_Node@localhost
2024-07-26 09:36:57.015737,RECEIVE,b3cbaa01-3f5e-48d2-8d16-4298a0b2c4a7,scp_main_node@localhost
2024-07-26 09:37:47.908990,SEND,363f2cce-6d81-4800-a4b9-d36bf9614f6d,scp_Main_Node@localhost
2024-07-26 09:37:47.912996,RECEIVE,2f87c89d-a93f-4644-9cb0-6454233fea5b,scp_main_node@localhost
2024-07-26 09:38:41.999983,SEND,d2f3b1d6-ad3d-48e7-bb6b-aec6d8d3647e,scp_Main_Node@localhost
2024-07-26 09:38:41.999983,RECEIVE,2f87c89d-a93f-4644-9cb0-6454233fea5b,scp_main_node@localhost
2024-07-26 09:39:34.859364,SEND,f5c36171-bed0-4345-8f9a-323b844aa19a,scp_Main_Node@localhost
2024-07-26 09:39:34.861364,RECEIVE,9890ac53-0096-4bda-8269-16f550944930,scp_main_node@localhost
2024-07-26 09:40:24.594694,SEND,8bcadfa0-abec-4c9d-8a4e-64de5ade0260,scp_Main_Node@localhost
2024-07-26 09:40:24.595698,RECEIVE,9890ac53-0096-4bda-8269-16f550944930,scp_main_node@localhost
2024-07-26 09:41:15.064637,SEND,9649ad3e-1770-4c9f-bf5a-9b9926214a06,scp_Main_Node@localhost
2024-07-26 09:41:15.068143,RECEIVE,48cf7fd3-7284-43c7-8826-21fa76e38fbc,scp_main_node@localhost
2024-07-26 09:42:03.082844,SEND,f8d6fefa-5a49-4ba4-aa12-cfcb50af9b87,scp_Main_Node@localhost
2024-07-26 09:42:03.083844,RECEIVE,48cf7fd3-7284-43c7-8826-21fa76e38fbc,scp_main_node@localhost
2024-07-26 09:42:50.327790,SEND,6b6e01bd-a267-4489-8f16-0c975a792cb3,scp_Main_Node@localhost
2024-07-26 09:42:50.331794,RECEIVE,9da5d572-ca42-4b03-963e-7b47b4ccea33,scp_main_node@localhost
2024-07-26 09:44:01.459228,SEND,cef508fa-7885-44b1-b407-a28ea6712d6e,scp_Main_Node@localhost
2024-07-26 09:44:01.459228,RECEIVE,9da5d572-ca42-4b03-963e-7b47b4ccea33,scp_main_node@localhost
2024-07-26 09:44:52.397218,SEND,f5f1ab64-075f-4251-bfe6-1e99c2e41eff,scp_Main_Node@localhost
2024-07-26 09:44:52.399218,RECEIVE,d5938f84-9ba3-4353-91b9-183e68e399d5,scp_main_node@localhost
2024-07-26 09:45:38.314162,SEND,ec066bcc-e5a1-4292-83a6-3e53056e590a,scp_Main_Node@localhost
2024-07-26 09:45:38.316162,RECEIVE,d5938f84-9ba3-4353-91b9-183e68e399d5,scp_main_node@localhost
2024-07-26 09:46:24.768835,SEND,00513bb1-4043-4d3e-b5f9-8a6477e29499,scp_Main_Node@localhost
2024-07-26 09:46:24.769835,RECEIVE,f43ef93f-b211-4b3b-8e90-8f6755212243,scp_main_node@localhost
2024-07-26 09:47:13.659534,SEND,61c752ac-3234-42c8-8451-1d07c46b7fc0,scp_Main_Node@localhost
2024-07-26 09:47:13.660534,RECEIVE,f43ef93f-b211-4b3b-8e90-8f6755212243,scp_main_node@localhost
2024-07-26 09:47:59.533199,SEND,967a50de-d69f-4523-aa3b-f921beab91ea,scp_Main_Node@localhost
2024-07-26 09:47:59.534199,RECEIVE,c2e78e69-669a-460a-b286-c581e40c1bd6,scp_main_node@localhost
2024-07-26 09:48:51.207200,SEND,ba0876ac-b6a5-45be-b42a-e27900fdcee6,scp_Main_Node@localhost
2024-07-26 09:48:51.207755,RECEIVE,c2e78e69-669a-460a-b286-c581e40c1bd6,scp_main_node@localhost
2024-07-26 09:49:38.076958,SEND,f09cf1ce-34da-46c7-9b14-d17e1c77d7ef,scp_Main_Node@localhost
2024-07-26 09:49:38.078958,RECEIVE,079c6278-853a-43e4-aed5-3859bcdf3159,scp_main_node@localhost
2024-07-26 09:50:24.323631,SEND,28de3af3-4680-43d9-8a4f-ccfdd0804e79,scp_Main_Node@localhost
2024-07-26 09:50:24.324630,RECEIVE,079c6278-853a-43e4-aed5-3859bcdf3159,scp_main_node@localhost
2024-07-26 09:57:21.387149,SEND,3b2aad51-9519-41fe-b1d3-b53296ea54da,scp_Main_Node@localhost
2024-07-26 09:57:21.389243,RECEIVE,35ab5a2f-b60f-47db-a176-f891904503ea,scp_main_node@localhost
2024-07-26 09:59:39.155592,SEND,d5011ec2-637c-4768-83ef-55e31e657960,scp_Main_Node@localhost
2024-07-26 09:59:39.156593,RECEIVE,35ab5a2f-b60f-47db-a176-f891904503ea,scp_main_node@localhost
2024-07-26 10:00:26.065153,SEND,c42883c8-b470-460b-b088-9506d93c940e,scp_Main_Node@localhost
2024-07-26 10:00:26.069156,RECEIVE,6e08d20a-220c-447c-8442-f7430cf00948,scp_main_node@localhost
2024-07-26 10:01:16.520935,SEND,aa8497a1-85ad-4ab2-865d-37844c995fa1,scp_Main_Node@localhost
2024-07-26 10:01:16.523935,RECEIVE,6e08d20a-220c-447c-8442-f7430cf00948,scp_main_node@localhost
2024-07-26 10:02:03.705058,SEND,8fd8fb40-33ed-496d-98c8-5bebb2284a3a,scp_Main_Node@localhost
2024-07-26 10:02:03.708566,RECEIVE,f50aa12c-5d50-46be-8a55-906960cf3a8f,scp_main_node@localhost
2024-07-26 10:02:52.304207,SEND,9cab850e-e122-4b82-9d42-3e850b0a8260,scp_Main_Node@localhost
2024-07-26 10:02:52.305207,RECEIVE,f50aa12c-5d50-46be-8a55-906960cf3a8f,scp_main_node@localhost
2024-07-26 10:03:42.142779,SEND,1e5f529a-a0e5-4e78-8342-abcf5ea0671b,scp_Main_Node@localhost
2024-07-26 10:03:42.144781,RECEIVE,802ab786-34eb-46b9-b451-69c4f14eea22,scp_main_node@localhost
2024-07-26 10:04:34.309011,SEND,11089278-2280-46ce-b604-4641ddb6728d,scp_Main_Node@localhost
2024-07-26 10:04:34.312010,RECEIVE,802ab786-34eb-46b9-b451-69c4f14eea22,scp_main_node@localhost
2024-07-26 10:05:25.661014,SEND,26ead5d5-cdcb-4897-80a9-5be8f2445e2b,scp_Main_Node@localhost
2024-07-26 10:05:25.666522,RECEIVE,f5adf089-887b-491f-b4e1-438902faaafa,scp_main_node@localhost
2024-07-26 10:06:16.758401,SEND,c916a998-0d81-479a-8b24-876f2d1fdb2b,scp_Main_Node@localhost
2024-07-26 10:06:16.760404,RECEIVE,f5adf089-887b-491f-b4e1-438902faaafa,scp_main_node@localhost
2024-07-26 10:07:07.223040,SEND,244f4b40-c57c-4cf1-ab33-8ac24012e7b8,scp_Main_Node@localhost
2024-07-26 10:07:07.229547,RECEIVE,1cbd0071-16c2-48c1-9f36-e9020b713781,scp_main_node@localhost
2024-07-26 10:09:14.205797,SEND,4ce3973f-2718-43e7-af48-c2d94e159a70,scp_Main_Node@localhost
